(0, 5, 7),
(0, 7, 3),
(0, 14, 2),
(1, 2, 7),
(1, 7, 5),
(1, 13, 8),
(2, 3, 3),
(2, 5, -2),
(2, 13, 5),
(3, 0, -4),
(3, 4, 4),
(3, 9, -1),
(3, 13, 9),
(4, 5, 1),
(4, 8, -1),
(4, 9, 7),
(5, 9, 8),
(5, 13, 5),
(6, 4, -4),
(6, 8, -4),
(6, 10, 5),
(6, 13, 9),
(7, 2, 4),
(7, 14, 6),
(8, 2, 7),
(8, 3, 9),
(8, 5, 2),
(8, 7, 5),
(8, 9, 5),
(8, 13, 2),
(9, 6, 4),
(9, 8, 3),
(9, 12, 6),
(10, 3, 4),
(10, 4, 2),
(10, 11, -2),
(11, 0, 7),
(11, 2, -3),
(11, 3, 6),
(11, 6, 0),
(11, 10, 7),
(11, 13, 1),
(12, 3, 3),
(12, 4, 4),
(12, 6, -1),
(13, 1, 4),
(13, 2, 4),
(13, 4, 2),
(13, 7, -4),
(14, 3, 7),
(14, 13, -1)
