(0, 6, 5),
(0, 9, -1),
(0, 11, 8),
(0, 13, 5),
(1, 0, 7),
(1, 2, 8),
(1, 5, 0),
(1, 7, 3),
(1, 8, 1),
(1, 9, 3),
(1, 10, -4),
(2, 0, -2),
(2, 1, -1),
(2, 3, 10),
(2, 8, -2),
(2, 11, 9),
(2, 12, 9),
(3, 4, 10),
(3, 10, 7),
(3, 11, 8),
(3, 12, 3),
(4, 3, -2),
(4, 5, -3),
(4, 6, 2),
(4, 8, 3),
(4, 9, 2),
(4, 13, 10),
(5, 8, 5),
(5, 9, 4),
(5, 10, 10),
(6, 9, 0),
(6, 13, 9),
(6, 14, 4),
(7, 0, 5),
(7, 10, 0),
(7, 11, 2),
(7, 13, 8),
(8, 0, 7),
(8, 1, 2),
(8, 4, 10),
(8, 7, -1),
(8, 14, 1),
(9, 3, 0),
(9, 11, -1),
(10, 4, 1),
(10, 7, 6),
(11, 3, 4),
(11, 5, 0),
(11, 6, 7),
(11, 10, 8),
(11, 13, 9),
(12, 5, 7),
(13, 3, 8),
(13, 5, 1),
(13, 8, 3),
(13, 9, -3),
(13, 11, 5),
(13, 14, 5),
(14, 7, 2),
(14, 8, 4),
(14, 11, 6),
(14, 12, -2)
